typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20200101","2020","1","202001","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1251","false","8","kg","1251","false","1251","false","0","false","23978.998",,"23978.998","0","false","true",
"C","M","20200101","2020","1","202001","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","600","false","8","kg","600","false","600","false","0","false","1065.635","0","1065.635","0","false","true",
"C","M","20200201","2020","2","202002","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2179","false","8","kg","2179","false","2179","false","0","false","26803.399",,"26803.399","0","false","true",
"C","M","20200201","2020","2","202002","380","ITA","Italy","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4496","false","8","kg","4496","false","4496","false","0","false","5817.818","0","5817.818","0","false","true",
"C","M","20200201","2020","2","202002","690","SYC","Seychelles","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18","false","8","kg","18","false","18","false","0","false","24.708",,"24.708","0","false","true",
"C","M","20200301","2020","3","202003","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1188","false","8","kg","1188","false","1188","false","0","false","22411.15",,"22411.15","0","false","true",
"C","M","20200301","2020","3","202003","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21617","false","8","kg","21617","false","21617","false","0","false","127544.939","0","127544.939","0","false","true",
"C","M","20200301","2020","3","202003","352","ISL","Iceland","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","44.57","34.393","44.57","0","false","true",
"C","M","20200401","2020","4","202004","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8219","false","8","kg","8219","false","8219","false","0","false","26013.164",,"26013.164","0","false","true",
"C","M","20200401","2020","4","202004","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19863","false","8","kg","19863","false","19863","false","0","false","84629.02","0","84629.02","0","false","true",
"C","M","20200501","2020","5","202005","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1022","false","8","kg","1022","false","1022","false","0","false","19672.388",,"19672.388","0","false","true",
"C","M","20200601","2020","6","202006","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1252","false","8","kg","1252","false","1252","false","0","false","21658.333",,"21658.333","0","false","true",
"C","M","20200701","2020","7","202007","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1178","false","8","kg","1178","false","1178","false","0","false","23692.534",,"23692.534","0","false","true",
"C","M","20200801","2020","8","202008","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1129","false","8","kg","1129","false","1129","false","0","false","23472.845",,"23472.845","0","false","true",
"C","M","20200801","2020","8","202008","690","SYC","Seychelles","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66","false","8","kg","66","false","66","false","0","false","166.846",,"166.846","0","false","true",
"C","M","20200901","2020","9","202009","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1102","false","8","kg","1102","false","1102","false","0","false","22739.304",,"22739.304","0","false","true",
"C","M","20200901","2020","9","202009","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","8","kg","7","false","7","false","0","false","9.434","0","9.434","0","false","true",
"C","M","20200901","2020","9","202009","690","SYC","Seychelles","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38","false","8","kg","38","false","38","false","0","false","80.022",,"80.022","0","false","true",
"C","M","20201001","2020","10","202010","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1090","false","8","kg","1090","false","1090","false","0","false","22494.126",,"22494.126","0","false","true",
"C","M","20201001","2020","10","202010","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38971","false","8","kg","38971","false","38971","false","0","false","131364.971","0","131364.971","0","false","true",
"C","M","20201101","2020","11","202011","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","741","false","8","kg","741","false","741","false","0","false","15027.03",,"15027.03","0","false","true",
"C","M","20201101","2020","11","202011","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22333","false","8","kg","22333","false","22333","false","0","false","56522.442","0","56522.442","0","false","true",
"C","M","20201201","2020","12","202012","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2056","false","8","kg","2056","false","2056","false","0","false","25496.801",,"25496.801","0","false","true",
"C","M","20201201","2020","12","202012","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","58094","false","8","kg","58094","false","58094","false","0","false","157973.8","0","157973.8","0","false","true",
