typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20210101","2021","1","202101","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1029","false","8","kg","1029","false","1029","false","0","false","21683.586",,"21683.586","0","false","true",
"C","M","20210101","2021","1","202101","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80","false","8","kg","80","false","80","false","0","false","175.26","0","175.26","0","false","true",
"C","M","20210101","2021","1","202101","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51033","false","8","kg","51033","false","51033","false","0","false","157801.399","0","157801.399","0","false","true",
"C","M","20210201","2021","2","202102","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2623","false","8","kg","2623","false","2623","false","0","false","24326.457",,"24326.457","0","false","true",
"C","M","20210301","2021","3","202103","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1157","false","8","kg","1157","false","1157","false","0","false","24218.218",,"24218.218","0","false","true",
"C","M","20210301","2021","3","202103","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41286","false","8","kg","41286","false","41286","false","0","false","43807.69","0","43807.69","0","false","true",
"C","M","20210401","2021","4","202104","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","983","false","8","kg","983","false","983","false","0","false","20514.209",,"20514.209","0","false","true",
"C","M","20210401","2021","4","202104","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9","false","8","kg","9","false","9","false","0","false","8.385","0","8.385","0","false","true",
"C","M","20210501","2021","5","202105","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1122","false","8","kg","1122","false","1122","false","0","false","23728.239",,"23728.239","0","false","true",
"C","M","20210501","2021","5","202105","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","2.429","0","2.429","0","false","true",
"C","M","20210501","2021","5","202105","344","HKG","China, Hong Kong SAR","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13545","false","8","kg","13545","false","13545","false","0","false","55137.906","0","55137.906","0","false","true",
"C","M","20210601","2021","6","202106","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1227","false","8","kg","1227","false","1227","false","0","false","22738.884",,"22738.884","0","false","true",
"C","M","20210601","2021","6","202106","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","8","kg","14","false","14","false","0","false","9.638","0","9.638","0","false","true",
"C","M","20210701","2021","7","202107","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","980","false","8","kg","980","false","980","false","0","false","19407.882",,"19407.882","0","false","true",
"C","M","20210701","2021","7","202107","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61","false","8","kg","61","false","61","false","0","false","401.942","0","401.942","0","false","true",
"C","M","20210701","2021","7","202107","528","NLD","Netherlands","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1355","false","8","kg","1355","false","1355","false","0","false","1796.917","0","1796.917","0","false","true",
"C","M","20210801","2021","8","202108","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1569","false","8","kg","1569","false","1569","false","0","false","22434.735",,"22434.735","0","false","true",
"C","M","20210801","2021","8","202108","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13","false","8","kg","13","false","13","false","0","false","9.417","0","9.417","0","false","true",
"C","M","20210901","2021","9","202109","251","FRA","France","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1029","false","8","kg","1029","false","1029","false","0","false","21308.987",,"21308.987","0","false","true",
"C","M","20210901","2021","9","202109","276","DEU","Germany","M","Import","757","CHE","Switzerland","0","W00","World","H5","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","8","kg","15","false","15","false","0","false","21.187","0","21.187","0","false","true",
